Label,StopwordRemovedSentence
positive,year 1866 signalised remarkable incident mysterious puzzling phenomenon doubtless one yet forgotten
positive,mention rumours agitated maritime population excited public mind even interior continents seafaring men particularly excited
positive,merchants common sailors captains vessels skippers europe america naval officers countries governments several states two continents deeply interested matter
neutral,time past vessels met enormous thing long object spindle shaped occasionally phosphorescent infinitely larger rapid movements whale
positive,facts relating apparition entered various log books agreed respects shape object creature question untiring rapidity movements surprising power locomotion peculiar life seemed endowed
neutral,cetacean surpassed size hitherto classified science
negative,taking consideration mean observations made divers times rejecting timid estimate assigned object length two hundred feet equally exaggerated opinions set mile width three length might fairly conclude mysterious surpassed greatly dimensions admitted ichthyologists day existed
positive,exist undeniable fact tendency disposes human mind favour marvellous understand excitement produced entire world supernatural apparition
neutral,classing list fables idea question
neutral,20th july 1866 steamer governor higginson calcutta burnach steam navigation company met moving mass five miles east coast australia
positive,captain baker thought first presence unknown sandbank even prepared determine exact position two columns water projected inexplicable object shot hissing noise hundred fifty feet air
neutral,unless sandbank submitted intermittent eruption geyser governor higginson neither less aquatic mammal unknown till threw blow holes columns water mixed air vapour
neutral,similar facts observed 23rd july year pacific ocean columbus west india pacific steam navigation company
positive,extraordinary cetaceous creature could transport one place another surprising velocity interval three days governor higginson columbus observed two different points chart separated distance seven hundred nautical leagues
positive,fifteen days later two thousand miles farther helvetia compagnie nationale shannon royal mail steamship company sailing windward portion atlantic lying united states europe respectively signalled monster 42 15 n lat
neutral,60 35 w long
positive,simultaneous observations thought justified estimating minimum length mammal three hundred fifty feet shannon helvetia smaller dimensions though measured three hundred feet
neutral,largest whales frequent parts sea round aleutian kulammak umgullich islands never exceeded length sixty yards attain
negative,reports arriving one fresh observations made board transatlantic ship pereire collision occurred etna inman line monster proc verbal directed officers french frigate normandie accurate survey made staff commodore fitz james board lord clyde greatly influenced public opinion
negative,light thinking people jested upon phenomenon grave practical countries england america germany treated matter seriously
positive,every place great resort monster fashion
neutral,sang caf ridiculed papers represented stage
neutral,kinds stories circulated regarding
negative,appeared papers caricatures every gigantic imaginary creature white whale terrible moby dick hyperborean regions immense kraken whose tentacles could entangle ship five hundred tons hurry abyss ocean
positive,legends ancient times even resuscitated opinions aristotle pliny revived admitted existence monsters well norwegian tales bishop pontoppidan accounts paul heggede last reports mr harrington whose good faith one could suspect affirmed board castillan 1857 seen enormous serpent never time frequented seas ancient constitutionnel burst forth interminable controversy credulous incredulous societies savants scientific journals
negative,question monster inflamed minds
positive,editors scientific journals quarrelling believers supernatural spilled seas ink memorable campaign even drawing blood sea serpent came direct personalities
positive,six months war waged various fortune leading articles geographical institution brazil royal academy science berlin british association smithsonian institution washington discussions indian archipelago cosmos abb moigno mittheilungen petermann scientific chronicles great journals france countries
neutral,cheaper journals replied keenly inexhaustible zest
negative,satirical writers parodied remark linn us quoted adversaries monster maintaining nature make fools adjured contemporaries give lie nature admitting existence krakens sea serpents moby dicks lucubrations delirious sailors
positive,length article well known satirical journal favourite contributor chief staff settled monster like hippolytus giving death blow amidst universal burst laughter
neutral,wit conquered science
positive,first months year 1867 question seemed buried never revive new facts brought public
negative,longer scientific problem solved real danger seriously avoided
neutral,question took quite another shape
neutral,monster became small island rock reef reef indefinite shifting proportions
neutral,5th march 1867 moravian montreal ocean company finding night 27 30 lat
negative,72 15 long struck starboard quarter rock marked chart part sea
neutral,combined efforts wind four hundred horse power going rate thirteen knots
positive,superior strength hull moravian would broken shock gone 237 passengers bringing home canada
negative,accident happened five clock morning day breaking
neutral,officers quarter deck hurried part vessel
neutral,examined sea scrupulous attention
negative,saw nothing strong eddy three cables length distant surface violently agitated
positive,bearings place taken exactly moravian continued route without apparent damage
negative,struck submerged rock enormous wreck
negative,could tell examination ship bottom undergoing repairs found part keel broken
negative,fact grave might perhaps forgotten like many others three weeks enacted similar circumstances
positive,thanks nationality victim shock thanks reputation company vessel belonged circumstance became extensively circulated
positive,13th april 1867 sea beautiful breeze favourable scotia cunard company line found 15 12 long
neutral,45 37 lat
neutral,going speed thirteen knots half
positive,seventeen minutes past four afternoon whilst passengers assembled lunch great saloon slight shock felt hull scotia quarter little aft port paddle
negative,scotia struck struck seemingly something rather sharp penetrating blunt
negative,shock slight one alarmed shouts carpenter watch rushed bridge exclaiming sinking
negative,sinking first passengers much frightened captain anderson hastened reassure
negative,danger could imminent
positive,scotia divided seven compartments strong partitions could brave impunity leak
neutral,captain anderson went immediately hold
neutral,found sea pouring fifth compartment rapidity influx proved force water considerable
positive,fortunately compartment hold boilers fires would immediately extinguished
negative,captain anderson ordered engines stopped one men went ascertain extent injury
neutral,minutes afterwards discovered existence large hole two yards diameter ship bottom
negative,leak could stopped scotia paddles half submerged obliged continue course
positive,three hundred miles cape clear three days delay caused great uneasiness liverpool entered basin company
neutral,engineers visited scotia put dry dock
neutral,could scarcely believe possible two yards half water mark regular rent form isosceles triangle
positive,broken place iron plates perfectly defined could neatly done punch
positive,clear instrument producing perforation common stamp driven prodigious strength piercing iron plate 1 3 8 inches thick withdrawn retrograde motion truly inexplicable
positive,last fact resulted exciting torrent public opinion
neutral,moment unlucky casualties could otherwise accounted put monster
negative,upon imaginary creature rested responsibility shipwrecks unfortunately considerable three thousand ships whose loss annually recorded lloyd number sailing steam ships supposed totally lost absence news amounted less two hundred
negative,monster justly unjustly accused disappearance thanks communication different continents became dangerous
positive,public demanded peremptorily seas price relieved formidable cetacean
negative,period events took place returned scientific research disagreeable territory nebraska united states
positive,virtue office assistant professor museum natural history paris french government attached expedition
positive,six months nebraska arrived new york towards end march laden precious collection
neutral,departure france fixed first days may
negative,meanwhile occupying classifying mineralogical botanical zoological riches accident happened scotia
positive,perfectly subject question day
neutral,could otherwise
neutral,read read american european papers without nearer conclusion
negative,mystery puzzled
neutral,impossibility forming opinion jumped one extreme
negative,really something could doubted incredulous invited put finger wound scotia
neutral,arrival new york question height
positive,hypothesis floating island unapproachable sandbank supported minds little competent form judgment abandoned
neutral,indeed unless shoal machine stomach could change position astonishing rapidity
negative,cause idea floating hull enormous wreck given
positive,remained two possible solutions question created two distinct parties one side monster colossal strength submarine vessel enormous motive power
neutral,last hypothesis plausible could stand inquiries made worlds
neutral,private gentleman machine command likely
neutral,built
neutral,could construction kept secret
negative,certainly government might possess destructive machine
negative,disastrous times ingenuity man multiplied power weapons war possible without knowledge others state might try work formidable engine
neutral,chassepots came torpedoes torpedoes submarine rams reaction
negative,least hope
negative,hypothesis war machine fell declaration governments
negative,public interest question transatlantic communications suffered veracity could doubted
negative,admit construction submarine boat escaped public eye
positive,private gentleman keep secret circumstances would difficult state whose every act persistently watched powerful rivals certainly impossible
negative,inquiries made england france russia prussia spain italy america even turkey hypothesis submarine monitor definitely rejected
positive,upon arrival new york several persons honour consulting phenomenon question
positive,published france work quarto two volumes entitled mysteries great submarine grounds book highly approved learned world gained special reputation rather obscure branch natural history
neutral,advice asked
negative,long could deny reality fact confined decided negative
neutral,soon finding driven corner obliged explain categorically
positive,even honourable pierre aronnax professor museum paris called upon new york herald express definite opinion sort
neutral,something
positive,spoke want power hold tongue
positive,discussed question forms politically scientifically give extract carefully studied article published number 30th april
